CreditScore,Gender,Age,Tenure,IsActiveMember,Exited
747,Female,25,4,1,0
825,Female,32,1,1,0
688,Female,35,6,0,1
695,Male,28,5,1,0
669,Female,50,4,0,1
598,Male,32,9,0,0
542,Female,39,4,1,0
620,Male,36,7,0,0
677,Female,26,3,0,0
535,Female,53,5,1,0
818,Male,36,4,1,0
792,Male,34,1,1,0
690,Male,36,7,0,0
698,Male,52,8,1,0
493,Female,36,2,1,0
633,Male,30,2,1,0
552,Female,42,8,1,1
622,Female,38,4,1,0
701,Male,32,5,0,0
590,Female,51,3,1,1
708,Male,32,3,1,0
665,Female,41,8,0,0
534,Male,51,3,1,0
745,Male,34,9,0,0
693,Male,68,4,1,0
632,Female,44,3,1,1
571,Female,33,9,1,0
520,Male,30,3,1,0
668,Female,36,3,0,1
652,Female,40,8,1,0
743,Male,25,6,0,0
624,Male,35,2,0,0
672,Female,34,1,1,0
452,Male,35,4,1,0
592,Female,62,5,1,0
620,Male,41,0,0,0
610,Male,49,6,0,1
629,Female,38,9,0,0
614,Male,43,8,1,0
472,Female,37,1,1,0
777,Male,43,1,0,0
506,Male,43,2,0,0
692,Female,31,2,0,1
602,Male,32,10,1,0
461,Female,35,5,1,0
619,Female,28,3,0,0
631,Female,41,0,0,0
653,Male,46,0,0,1
621,Female,50,5,0,1
707,Male,34,9,0,0
520,Male,58,3,1,0
575,Male,27,3,0,0
605,Male,75,2,1,0
605,Female,30,9,1,0
850,Male,58,8,0,1
710,Female,27,2,0,0
757,Male,47,3,0,0
575,Male,36,1,1,0
850,Male,20,7,0,0
803,Male,33,6,0,0
702,Male,39,8,0,0
647,Male,32,9,1,0
493,Male,54,3,0,1
640,Female,29,4,0,0
748,Female,49,7,0,1
492,Female,48,6,1,1
613,Male,44,3,1,0
773,Male,64,2,1,0
633,Male,61,3,1,0
777,Female,30,4,1,0
616,Female,43,3,0,1
522,Female,37,3,1,0
738,Male,37,7,0,0
768,Female,28,3,1,0
577,Female,59,7,1,0
596,Male,48,2,0,1
850,Male,38,3,1,0
585,Female,43,2,0,0
756,Male,32,0,1,0
646,Female,30,10,0,0
850,Male,44,2,0,0
702,Female,40,1,0,1
777,Female,46,0,0,0
711,Female,53,5,0,0
461,Male,51,9,0,1
598,Male,19,3,1,0
722,Female,38,3,1,0
730,Male,27,5,1,0
562,Male,37,2,1,1
753,Male,33,5,1,0
799,Male,38,2,1,0
673,Female,34,1,1,0
512,Male,33,3,0,0
733,Male,35,8,1,0
722,Female,48,10,1,1
741,Male,32,5,1,0
731,Female,49,4,1,1
802,Male,31,1,1,0
769,Female,39,8,1,0
433,Male,27,2,1,0
676,Female,30,5,0,0
641,Male,65,6,0,1
508,Male,49,7,1,0
681,Female,57,2,1,0
523,Female,26,4,0,0
627,Male,70,1,1,0
498,Male,73,2,1,0
581,Male,43,9,1,0
660,Male,41,3,1,0
819,Male,35,1,1,0
686,Male,43,2,1,0
726,Female,38,5,0,0
850,Male,48,2,0,1
676,Female,34,4,1,0
739,Female,30,6,0,0
584,Female,30,5,1,0
705,Female,48,1,1,1
544,Female,53,9,0,1
702,Female,38,9,1,0
588,Male,34,6,0,0
489,Female,52,1,0,1
646,Female,46,8,0,0
682,Female,47,10,0,0
652,Female,37,4,0,0
702,Male,40,7,1,0
680,Female,47,5,1,0
608,Male,45,4,0,1
636,Male,44,2,0,0
784,Male,48,7,1,0
499,Female,44,6,0,0
669,Male,45,1,0,0
494,Male,25,6,1,0
634,Female,41,4,1,0
700,Female,36,4,0,0
850,Male,30,6,1,0
505,Male,40,6,1,0
774,Female,32,4,0,0
664,Male,55,8,1,0
483,Female,30,9,0,0
696,Female,30,8,1,0
672,Female,23,10,0,0
755,Male,43,6,0,1
706,Male,38,1,0,0
739,Female,37,8,0,1
741,Female,44,7,1,0
582,Male,33,6,1,0
636,Female,31,9,1,0
790,Female,40,9,1,0
605,Female,57,2,0,1
711,Female,39,3,0,0
541,Female,32,4,1,0
539,Male,30,0,0,0
555,Male,37,9,0,0
729,Female,38,10,0,0
631,Male,40,3,0,1
580,Male,38,9,0,1
582,Male,39,5,1,0
715,Male,21,6,1,0
636,Female,39,3,0,0
681,Male,23,7,0,0
806,Male,48,4,1,0
555,Male,21,1,0,0
712,Female,39,5,1,0
694,Female,37,8,0,1
603,Male,30,8,1,0
698,Male,37,8,0,0
734,Female,52,6,1,0
701,Female,34,6,1,0
656,Female,34,6,0,1
469,Male,37,9,1,0
746,Male,36,7,1,0
786,Male,37,7,1,0
801,Male,43,4,0,0
604,Female,71,2,1,0
750,Female,36,6,1,0
792,Male,31,6,1,0
504,Female,49,7,1,1
604,Female,28,6,1,0
594,Male,23,5,0,0
617,Female,26,2,1,0
758,Female,43,10,1,0
679,Male,39,0,1,0
714,Male,21,6,0,0
665,Female,38,5,0,0
582,Female,38,9,1,1
771,Female,38,5,0,0
525,Female,57,2,1,0
525,Female,60,7,1,0
682,Female,48,7,0,0
615,Female,29,7,1,0
573,Male,44,9,0,0
650,Male,37,5,0,0
702,Male,36,9,0,0
710,Female,62,9,0,1
761,Male,37,7,0,0
690,Female,36,10,1,0
553,Male,53,5,0,1
633,Female,29,7,0,0
573,Female,26,4,0,1
760,Male,34,2,0,0
649,Male,20,5,1,0
528,Female,46,9,0,1
772,Female,51,9,1,1
744,Male,29,1,1,0
738,Male,35,5,0,0
687,Female,47,1,0,1
701,Male,33,9,0,0
802,Male,41,5,1,0
680,Male,32,7,1,0
671,Male,36,2,0,0
605,Female,29,3,0,0
614,Female,43,6,1,0
728,Female,43,8,1,0
541,Male,37,9,1,0
498,Female,41,4,1,1
578,Female,35,2,1,0
669,Female,35,7,1,1
695,Male,40,7,1,0
608,Female,38,9,1,0
542,Male,43,6,0,0
735,Male,34,5,0,0
697,Female,74,3,1,0
733,Female,38,5,1,0
773,Female,39,4,1,0
677,Female,35,0,0,0
479,Male,35,4,1,1
696,Male,33,2,1,0
516,Female,42,8,0,0
796,Male,44,8,1,0
616,Male,41,10,1,0
615,Male,39,4,1,0
665,Female,37,5,1,0
774,Female,52,2,0,1
669,Female,42,1,0,0
681,Male,49,8,0,1
749,Male,42,1,1,0
587,Male,46,9,0,1
545,Female,39,6,0,1
553,Male,47,3,0,1
642,Male,72,1,1,0
587,Male,51,3,1,0
732,Female,29,1,1,0
655,Male,34,1,1,0
850,Male,66,4,1,0
471,Male,26,8,1,0
656,Female,39,6,0,0
644,Male,18,7,1,1
581,Female,46,1,0,0
556,Female,47,2,1,0
713,Female,59,3,1,0
794,Male,31,0,1,0
708,Male,52,10,0,1
656,Female,75,3,1,0
597,Female,39,8,0,1
566,Female,21,3,1,0
794,Male,33,8,0,0
640,Male,45,1,1,0
707,Male,73,6,1,0
763,Male,42,6,0,1
549,Male,37,2,0,0
730,Female,22,9,1,0
850,Male,41,8,1,0
544,Female,21,10,0,0
824,Male,45,3,0,0
644,Male,32,3,1,0
633,Female,37,9,0,0
695,Female,42,5,1,1
694,Male,38,7,0,0
622,Male,59,5,1,0
465,Female,33,6,1,0
808,Male,41,0,1,0
572,Female,36,8,1,0
747,Male,36,8,1,0
686,Male,39,3,1,0
640,Male,43,7,0,1
498,Male,35,2,1,0
603,Female,39,5,0,0
683,Male,35,9,0,0
741,Female,37,8,0,0
706,Female,47,6,1,0
716,Male,34,9,1,0
690,Female,26,5,1,0
684,Female,41,6,1,0
658,Female,39,4,1,0
540,Male,37,0,0,0
761,Female,33,6,0,0
570,Female,58,8,1,1
578,Male,36,1,0,0
632,Female,50,5,1,1
835,Male,32,8,1,0
628,Male,30,8,1,0
522,Male,34,9,0,1
657,Male,57,8,1,1
744,Male,29,6,0,0
688,Male,42,5,0,0
743,Male,30,7,0,0
580,Male,31,2,1,0
850,Female,57,8,1,0
628,Male,40,5,1,0
683,Female,57,5,0,1
612,Male,24,1,1,0
636,Female,48,1,0,1
700,Female,42,8,1,0
774,Female,36,8,0,0
796,Female,40,1,0,0
758,Female,23,5,0,1
667,Female,44,5,1,0
850,Female,36,0,1,0
641,Female,52,4,0,1
670,Female,45,9,0,1
594,Female,38,7,0,0
829,Male,38,9,0,0
694,Male,42,3,0,0
765,Male,43,9,0,0
671,Female,23,9,1,0
668,Female,69,9,1,0
698,Female,64,1,0,1
655,Female,32,6,0,1
685,Male,38,4,1,0
732,Female,42,2,0,0
531,Male,31,2,0,0
551,Male,50,1,1,1
519,Female,21,1,1,1
690,Male,29,5,0,0
507,Male,36,4,0,0
457,Male,40,10,0,0
759,Female,45,8,1,0
778,Male,37,3,1,0
587,Male,40,5,0,0
593,Female,38,5,1,0
766,Male,43,6,1,0
720,Male,34,3,1,0
769,Male,29,2,0,0
718,Female,49,10,0,1
557,Female,40,4,1,0
570,Female,29,4,1,1
637,Female,39,3,1,1
697,Male,31,3,1,0
736,Female,29,9,0,0
850,Female,44,5,1,0
824,Male,26,7,0,1
625,Female,52,2,1,0
619,Female,38,1,0,1
773,Male,63,9,1,0
608,Male,34,7,1,0
802,Male,51,7,1,0
727,Female,31,2,1,0
513,Male,29,10,1,0
572,Female,30,6,1,0
754,Female,55,3,0,1
745,Female,59,8,1,0
646,Male,24,8,0,0
418,Male,28,7,0,0
850,Male,28,8,0,0
548,Male,29,5,1,0
733,Male,33,3,1,0
850,Female,35,2,0,1
707,Male,47,3,0,0
641,Male,31,3,0,0
729,Male,30,6,0,0
725,Female,33,4,1,0
629,Male,35,4,1,0
515,Female,58,2,0,1
841,Male,74,9,1,0
602,Female,53,5,1,1
601,Male,38,4,1,0
704,Male,42,8,1,0
698,Female,40,0,1,0
761,Male,27,8,0,0
773,Female,40,10,1,0
661,Male,26,8,0,0
649,Female,38,8,0,0
676,Male,35,5,0,0
558,Female,32,1,1,0
780,Female,33,6,1,0
844,Female,41,10,1,1
733,Male,31,6,0,0
565,Female,38,7,1,0
630,Male,30,3,1,0
604,Male,30,5,0,0
666,Female,66,7,1,0
699,Male,39,9,0,0
645,Male,47,9,0,1
743,Female,73,6,1,0
717,Female,42,5,0,1
800,Female,46,6,0,0
834,Male,38,8,1,0
696,Female,36,7,1,0
754,Male,39,6,0,0
813,Male,27,1,1,0
705,Female,39,3,1,0
732,Female,61,9,1,1
757,Male,28,7,1,0
531,Female,42,6,0,0
479,Female,30,7,0,0
699,Male,35,5,1,0
510,Female,26,6,0,0
610,Male,46,5,0,0
572,Male,43,2,0,1
603,Male,31,8,1,0
444,Male,34,2,0,0
793,Male,63,4,1,0
642,Female,40,7,0,0
758,Female,52,7,0,1
460,Female,35,8,1,0
731,Male,37,8,1,0
508,Female,41,5,0,0
691,Male,38,9,1,0
648,Female,37,7,0,0
543,Female,46,5,1,0
711,Male,52,5,1,0
575,Female,31,6,1,0
692,Male,45,6,1,1
717,Male,28,4,1,0
545,Male,37,9,1,0
758,Male,56,1,1,0
850,Male,39,4,1,0
622,Female,31,1,1,0
642,Male,26,0,0,0
749,Male,42,9,0,1
850,Male,54,7,0,1
500,Female,47,8,0,0
783,Female,72,5,1,0
714,Male,52,4,1,0
712,Female,29,8,1,0
797,Male,32,10,1,0
652,Male,58,6,1,0
642,Male,32,3,1,0
701,Female,34,3,1,0
703,Male,43,8,0,0
595,Male,20,4,0,0
443,Male,35,6,0,0
850,Female,55,7,0,1
743,Male,35,6,1,0
757,Male,44,5,0,0
527,Male,39,4,0,1
640,Female,46,3,1,0
632,Male,43,2,0,0
689,Male,47,1,0,1
640,Female,34,3,1,0
530,Male,33,9,1,0
656,Female,46,7,0,1
697,Female,49,7,1,1
508,Female,43,9,0,0
777,Male,44,3,1,0
505,Female,37,6,1,0
559,Female,28,3,0,0
850,Female,38,0,1,0
540,Male,37,6,0,0
506,Female,41,3,0,0
759,Male,40,4,0,0
543,Female,31,2,1,0
557,Male,34,3,0,0
678,Male,60,8,0,1
734,Female,43,3,1,1
655,Female,61,2,1,0
600,Male,46,10,0,0
545,Male,26,7,1,0
619,Male,34,1,0,0
699,Male,64,9,0,1
715,Male,38,2,1,0
575,Female,54,9,1,0
598,Female,40,9,0,1
733,Male,36,1,1,0
579,Male,40,10,0,0
519,Female,22,8,1,0
614,Male,51,4,1,0
705,Male,48,9,0,1
695,Female,42,0,1,0
752,Female,45,3,1,0
611,Male,31,0,1,0
681,Female,58,8,1,0
703,Female,29,3,1,0
541,Female,39,9,1,1
739,Male,32,3,0,1
690,Female,42,3,0,0
613,Male,41,7,0,0
629,Male,34,6,0,0
654,Male,32,6,1,0
705,Female,37,10,1,1
580,Female,35,8,1,0
834,Female,49,8,0,0
650,Female,32,4,1,0
659,Female,44,9,1,1
695,Male,28,0,1,0
676,Male,30,1,1,0
712,Male,37,7,0,0
640,Female,29,3,0,0
652,Male,36,9,0,0
682,Female,26,0,1,0
642,Male,34,8,0,0
767,Female,45,7,0,1
655,Female,45,0,0,0
521,Male,29,3,0,0
642,Male,18,5,1,0
573,Female,44,4,1,0
737,Male,44,7,0,0
613,Male,29,0,1,0
616,Male,29,9,1,0
716,Female,44,6,0,0
740,Female,56,4,1,1
748,Female,23,8,0,0
645,Male,25,1,0,0
646,Female,36,6,0,0
758,Female,47,9,0,0
584,Female,39,2,1,0
613,Female,51,7,1,1
667,Male,42,6,0,0
850,Male,30,9,0,0
547,Female,44,5,0,1
524,Male,28,1,1,0
643,Female,45,2,1,1
504,Male,43,5,0,0
665,Male,41,8,0,0
725,Female,33,7,1,0
565,Female,44,1,1,0
733,Male,38,9,1,0
615,Female,33,3,1,0
534,Male,34,5,1,0
739,Male,58,1,1,1
686,Male,22,5,0,0
564,Male,31,4,0,0
764,Male,29,5,0,0
487,Female,40,6,1,0
590,Female,29,2,0,0
731,Male,37,3,0,1
663,Male,67,9,1,0
711,Male,58,9,1,0
791,Male,34,7,0,0
711,Female,52,8,1,0
733,Male,39,5,1,0
798,Male,36,1,1,0
432,Male,38,2,1,0
758,Female,32,2,1,0
584,Female,37,8,1,0
528,Male,37,6,0,0
605,Male,52,1,0,0
632,Female,27,3,1,0
678,Male,28,2,1,0
688,Male,38,7,0,1
710,Female,46,10,0,1
717,Female,36,2,1,0
505,Female,25,5,1,0
794,Male,56,9,1,0
652,Female,58,3,1,0
532,Male,43,9,0,1
632,Female,35,2,0,0
821,Female,31,2,1,0
518,Male,40,4,1,0
752,Male,49,2,0,0
635,Male,50,7,0,1
711,Female,35,8,1,0
600,Female,41,1,1,0
563,Male,32,6,1,0
762,Female,51,3,1,0
678,Female,22,6,1,0
710,Male,34,9,0,0
850,Male,44,3,1,0
677,Female,27,2,1,0
527,Female,28,2,1,0
706,Female,29,5,0,0
513,Female,43,9,0,0
584,Female,40,4,0,0
577,Male,51,2,0,1
850,Female,41,5,1,0
766,Male,27,5,0,1
670,Male,31,1,1,0
639,Male,37,5,1,0
696,Male,47,1,1,0
602,Male,29,5,0,0
606,Female,36,10,1,0
619,Female,42,8,1,1
687,Female,40,1,0,0
793,Female,32,1,1,0
667,Male,31,3,1,0
552,Female,34,4,0,0
614,Female,35,1,1,0
683,Female,30,2,1,1
760,Male,42,0,1,0
840,Male,30,8,0,0
676,Male,36,1,0,0
647,Female,26,8,1,1
739,Male,19,5,0,0
578,Male,59,10,0,1
659,Female,38,9,1,0
568,Male,27,5,1,0
812,Male,34,5,1,0
750,Female,39,7,0,0
636,Female,34,3,1,0
678,Female,31,1,1,0
633,Male,42,3,1,0
620,Male,42,4,1,0
519,Male,48,10,0,0
715,Male,41,4,1,1
704,Female,24,7,0,1
683,Male,72,3,1,0
676,Male,38,8,1,0
554,Female,38,3,1,0
554,Female,26,7,0,0
652,Male,30,2,1,0
652,Female,80,4,1,0
679,Male,33,4,0,0
697,Female,34,2,0,0
708,Female,35,8,0,0
850,Male,37,2,0,0
714,Male,39,3,0,0
682,Female,35,2,1,0
685,Male,31,7,1,0
486,Male,27,7,0,0
550,Male,37,3,1,0
663,Male,45,5,1,0
571,Male,40,10,1,0
435,Male,32,2,1,0
748,Male,33,1,0,0
717,Male,35,4,1,0
597,Female,60,0,0,1
560,Male,50,3,0,0
804,Female,33,10,1,0
675,Female,40,8,0,1
533,Male,47,9,1,0
738,Male,31,9,1,0
521,Male,30,2,0,0
604,Female,34,7,0,0
547,Female,42,1,0,1
668,Male,42,3,0,0
558,Male,38,8,1,0
690,Male,35,6,0,0
655,Male,38,4,0,0
656,Female,48,9,1,1
662,Male,33,0,1,0
638,Male,30,9,1,0
850,Female,29,10,1,0
727,Male,71,8,1,1
593,Male,43,10,0,0
698,Female,63,5,1,0
712,Male,33,2,0,0
432,Male,42,9,0,1
645,Female,45,8,0,0
497,Female,55,7,1,0
815,Female,39,6,1,0
666,Male,35,2,0,0
457,Female,38,7,1,0
688,Male,29,9,0,0
529,Male,63,4,0,1
758,Male,68,6,0,1
500,Female,34,4,0,0
732,Male,25,0,0,0
850,Male,41,1,1,0
594,Male,40,0,1,0
667,Male,77,2,1,0
570,Female,29,0,0,0
750,Male,22,5,1,0
675,Female,61,5,0,1
670,Female,27,5,1,0
589,Female,21,3,1,0
766,Male,41,0,1,0
712,Male,36,2,0,1
827,Female,60,2,1,0
490,Female,37,3,1,0
609,Male,32,7,0,0
532,Male,36,4,1,0
539,Female,29,4,1,0
611,Female,28,3,0,0
450,Male,29,7,1,0
696,Male,31,3,0,0
670,Female,31,2,1,1
605,Female,28,6,0,0
439,Male,52,3,0,1
515,Male,35,10,1,0
740,Male,36,7,1,0
688,Female,32,6,0,0
499,Female,21,3,1,0
677,Male,42,5,0,0
751,Female,44,10,0,0
685,Female,21,6,1,0
763,Female,23,2,0,0
792,Male,36,5,0,0
753,Female,47,1,0,0
640,Male,63,2,1,1
750,Male,36,7,1,1
750,Female,37,1,1,0
741,Male,39,7,1,0
698,Male,38,2,1,0
648,Male,32,0,1,0
545,Female,44,1,1,0
627,Female,44,5,0,1
691,Male,30,9,0,0
748,Male,45,2,0,1
568,Female,43,9,0,1
590,Male,36,1,0,0
550,Female,40,8,0,1
567,Male,34,10,1,0
710,Male,49,10,1,0
668,Male,32,7,1,0
822,Male,32,8,0,0
665,Female,40,1,1,0
615,Male,66,7,1,0
630,Male,32,4,0,0
603,Male,35,1,1,0
655,Female,39,6,1,0
623,Female,44,6,0,0
680,Male,42,0,0,0
650,Male,41,3,0,1
738,Male,29,2,1,0
850,Male,36,6,1,0
644,Female,31,5,1,0
513,Male,30,5,0,0
814,Male,44,8,0,0
586,Female,60,3,1,1
605,Female,32,5,1,0
603,Male,46,4,1,0
619,Male,52,8,1,0
658,Male,44,2,1,0
649,Female,31,2,0,0
601,Male,74,2,1,0
673,Female,38,2,0,1
680,Male,34,9,1,0
648,Male,42,4,0,0
679,Female,33,1,0,0
544,Male,48,10,1,1
645,Male,39,8,0,0
494,Male,30,3,1,0
692,Male,29,4,0,1
726,Female,44,2,1,0
507,Female,29,6,1,0
615,Male,59,4,1,0
616,Female,36,6,1,1
711,Female,25,5,0,1
766,Male,32,6,1,0
526,Male,61,6,1,0
646,Female,52,6,1,0
636,Female,33,0,0,1
648,Female,49,10,1,1
636,Female,36,1,0,0
836,Female,41,7,1,0
601,Female,37,5,0,0
715,Male,40,7,1,0
568,Male,28,1,0,0
579,Female,35,1,1,1
781,Female,38,3,0,0
634,Female,36,1,0,0
572,Male,47,4,0,1
596,Male,57,6,1,0
775,Male,45,8,0,0
454,Female,50,10,0,1
630,Female,25,7,0,0
723,Male,25,3,1,0
585,Female,32,8,0,0
633,Female,29,0,0,0
546,Male,25,7,1,0
549,Male,41,9,1,1
558,Male,40,6,0,0
650,Female,43,6,1,0
850,Female,40,9,1,1
564,Female,27,6,0,0
850,Male,49,8,0,1
608,Female,63,3,1,1
570,Female,46,3,0,0
546,Male,34,4,1,1
690,Female,40,9,0,1
702,Male,26,2,1,1
512,Male,36,0,0,0
588,Female,27,8,0,0
519,Male,39,4,1,0
718,Male,36,9,0,0
732,Female,43,9,0,0
756,Male,40,1,0,0
563,Male,61,1,0,1
799,Female,52,4,1,0
607,Male,35,2,1,0
350,Male,39,0,0,1
648,Male,31,7,1,0
484,Male,54,3,0,1
736,Male,50,9,0,1
547,Male,30,6,1,0
486,Female,39,8,1,0
564,Male,33,3,0,0
682,Female,54,0,1,0
602,Male,34,8,0,0
606,Male,32,6,1,0
730,Male,38,5,1,0
627,Male,30,6,1,0
623,Female,48,1,0,1
658,Male,25,3,1,0
757,Female,34,9,0,0
569,Male,36,1,0,0
588,Female,36,2,0,1
468,Male,42,9,0,0
684,Male,27,2,1,0
663,Male,30,4,0,0
572,Male,35,4,0,0
543,Male,41,6,1,1
619,Female,28,6,0,0
566,Male,65,4,0,1
544,Male,38,8,1,0
632,Male,47,3,0,0
769,Female,40,9,1,0
684,Female,34,6,1,0
498,Male,45,7,1,0
527,Female,30,6,1,0
577,Male,25,3,1,0
596,Male,47,6,0,0
660,Male,26,4,1,0
778,Female,33,4,0,0
710,Male,38,3,1,0
770,Female,33,6,1,0
496,Male,32,4,0,0
714,Male,25,2,1,0
595,Male,32,8,1,0
514,Female,41,7,1,0
718,Female,39,7,1,0
705,Male,39,6,1,0
672,Male,52,8,0,1
526,Female,43,3,0,0
660,Male,38,6,1,0
850,Female,40,5,0,0
634,Male,35,3,1,0
800,Male,39,4,0,0
654,Female,36,5,0,0
739,Male,54,8,0,1
661,Female,47,0,0,1
634,Female,37,7,0,0
560,Female,27,7,1,0
755,Male,29,9,1,0
775,Female,30,5,0,1
638,Male,41,1,1,0
646,Female,37,7,0,0
850,Female,24,6,1,0
535,Female,27,6,1,0
721,Female,33,4,1,0
781,Male,32,6,1,0
626,Male,36,2,1,0
725,Female,29,6,1,0
653,Male,55,2,1,0
468,Male,46,7,0,0
721,Female,36,3,0,0
850,Female,30,8,1,0
638,Male,57,6,0,1
768,Male,48,3,1,1
625,Female,31,8,0,0
679,Female,43,4,0,1
711,Male,38,10,0,0
498,Female,31,10,0,0
707,Male,30,8,0,0
691,Male,30,9,1,0
701,Female,42,6,0,0
651,Male,29,3,0,1
589,Female,61,1,0,1
521,Female,34,7,1,1
783,Female,44,3,0,1
506,Male,36,5,0,0
673,Female,37,10,1,0
587,Female,45,8,1,1
660,Male,28,2,0,0
525,Female,47,6,0,1
628,Male,42,7,1,0
527,Female,32,7,1,0
520,Female,30,4,0,0
587,Female,46,6,0,0
733,Female,28,5,0,0
501,Male,37,4,0,0
654,Male,29,4,1,0
850,Male,38,7,1,0
757,Male,28,3,1,0
775,Female,38,4,1,1
646,Male,39,9,1,0
837,Female,38,2,1,0
634,Male,27,3,0,0
746,Male,35,2,0,0
708,Female,32,8,1,0
699,Male,47,1,1,0
849,Female,41,6,1,1
727,Female,29,1,1,0
772,Male,30,4,0,0
628,Male,50,4,1,1
729,Male,30,9,0,0
637,Male,41,2,0,0
540,Female,35,7,0,0
605,Female,48,10,1,0
736,Male,46,5,1,1
688,Male,26,0,0,0
573,Male,35,9,0,0
724,Male,33,4,1,1
642,Male,40,8,0,0
541,Male,32,8,0,0
535,Female,49,3,0,1
740,Male,36,4,1,0
414,Male,60,3,1,0
646,Male,39,0,0,0
741,Female,21,9,1,0
787,Female,39,7,1,0
647,Male,35,4,0,0
675,Female,49,0,1,1
682,Female,30,9,1,0
705,Male,33,7,1,0
624,Female,62,7,1,0
650,Female,48,7,0,0
657,Female,37,2,1,0
600,Female,58,8,0,1
588,Male,34,10,0,0
515,Male,37,2,1,1
731,Female,40,7,1,0
548,Female,35,10,1,0
686,Female,39,3,0,0
592,Male,54,8,1,1
828,Male,47,1,0,1
739,Female,36,0,0,0
645,Female,41,2,0,1
549,Female,43,3,0,0
698,Male,44,10,0,0
644,Female,46,9,0,1
683,Female,35,5,1,0
827,Female,47,8,0,0
753,Female,36,7,1,1
646,Male,50,6,1,0
535,Female,45,2,1,0
641,Female,40,7,0,0
601,Male,39,3,0,1
708,Female,41,5,1,0
581,Female,47,1,0,1
703,Male,28,9,1,0
671,Male,38,0,0,0
812,Male,24,10,1,0
686,Male,26,7,0,0
516,Female,53,1,0,1
699,Male,30,9,1,0
567,Female,41,9,0,1
638,Female,37,7,0,0
850,Male,41,3,0,0
674,Female,42,9,0,0
637,Male,43,8,0,1
457,Female,38,6,0,0
500,Male,37,9,0,0
773,Male,51,4,0,1
683,Male,41,6,1,0
719,Male,37,10,0,0
684,Male,41,2,0,0
633,Male,50,7,1,0
570,Male,29,4,1,0
687,Female,36,4,1,0
658,Female,31,7,0,0
698,Female,39,4,1,0
785,Female,38,1,0,1
750,Female,37,2,0,0
676,Female,30,5,1,0
749,Male,46,10,1,0
676,Female,36,4,1,0
613,Female,46,8,1,0
584,Female,46,6,0,1
650,Female,39,4,0,0
646,Male,32,8,0,1
679,Male,60,8,1,0
566,Female,40,2,0,0
748,Female,39,9,1,1
621,Male,47,0,1,1
726,Female,56,8,1,1
696,Male,52,6,0,1
445,Female,48,7,0,1
708,Male,42,9,1,0
583,Male,59,7,1,0
686,Male,39,10,0,0
696,Female,35,4,0,0
486,Male,63,9,1,0
658,Male,29,5,1,0
670,Male,25,6,1,0
550,Male,34,3,0,0
693,Female,41,9,1,1
706,Female,44,4,0,0
795,Male,35,8,0,0
549,Male,29,3,0,0
813,Male,59,2,0,1
724,Male,45,5,1,0
638,Male,36,6,0,1
506,Male,37,5,1,0
664,Male,44,7,0,1
683,Female,29,0,0,0
565,Female,32,9,0,0
706,Male,53,7,1,0
727,Male,32,1,1,0
544,Female,29,1,1,0
850,Female,43,3,0,0
672,Male,43,5,1,0
573,Male,26,8,1,0
850,Female,32,9,1,0
679,Male,58,8,1,0
738,Female,33,3,1,0
