bathrooms,bedrooms,longitude,latitude,price,interest_level
1.5,3,-73.9527,40.8226,3068,low
1.0,0,-73.9757,40.7462,2700,low
2.0,2,-73.9806,40.7755,4500,low
1.0,1,-73.9799,40.7879,2595,low
1.0,0,-74.0076,40.7047,2723,low
1.0,2,-73.9497,40.7844,2995,medium
1.0,1,-73.9916,40.7452,4065,low
1.0,1,-74.0307,40.6299,1600,low
1.0,1,-73.9628,40.7633,3550,low
1.0,1,-73.9566,40.7704,3695,low
1.0,1,-73.9698,40.7594,2750,low
1.0,1,-73.9889,40.671,3277,medium
1.0,1,-73.9686,40.7563,3075,low
1.0,0,-73.9635,40.7703,2150,low
1.0,1,-73.9592,40.8157,2350,low
2.0,3,-73.9811,40.7449,5000,medium
2.0,3,-73.9659,40.7928,6000,low
1.0,3,-73.9982,40.7568,4955,low
1.0,3,-73.9513,40.7804,3800,low
1.0,2,-73.9217,40.7561,2150,high
1.0,1,-73.852,40.7205,1200,high
0.0,1,-74.0058,40.7355,3895,low
1.0,3,-73.9702,40.7522,5395,low
2.0,2,-74.0085,40.7387,9500,low
1.0,3,-73.9416,40.8357,2750,low
1.0,0,-73.9618,40.8003,1900,low
3.0,3,-74.0077,40.7065,10680,low
1.0,2,-73.9584,40.7682,3095,low
1.0,2,-73.9466,40.6809,2475,low
2.0,4,-74.0122,40.7074,4575,medium
1.0,4,-73.9498,40.7615,4695,low
1.0,0,-73.9757,40.7462,2625,low
1.5,3,-73.9781,40.7413,4900,low
1.0,1,-73.9642,40.7583,3495,low
1.0,0,-74.0149,40.708,2775,medium
1.0,2,-74.0054,40.7076,3435,low
1.0,0,-73.9734,40.7897,3195,low
1.0,2,-74.0001,40.7277,3300,high
1.0,2,-73.9517,40.8006,2500,low
2.0,2,-73.9916,40.7678,5870,low
1.0,1,-74.0069,40.7074,3295,low
1.0,1,-73.967,40.6092,1675,medium
1.0,1,-73.9776,40.7454,3700,low
1.0,3,-73.9515,40.8252,2500,low
2.0,4,-73.9475,40.78,5150,low
1.0,0,-73.9868,40.7488,3200,low
1.0,0,-73.9457,40.8158,1495,high
1.0,1,-73.9151,40.7674,2394,medium
2.0,2,-73.9742,40.7959,4650,low
1.0,3,-73.9085,40.686,2500,low
2.0,4,-73.9126,40.6803,3400,low
1.0,0,-73.9822,40.7213,2100,low
1.0,0,-74.0173,40.7097,2465,high
1.0,2,-73.9915,40.7678,5711,low
1.0,2,-73.9546,40.8044,2525,low
1.0,2,-73.9531,40.8199,2100,low
1.0,2,-73.9425,40.7487,3000,medium
1.0,1,-73.984,40.7281,2345,low
1.0,2,-73.9705,40.7893,3450,low
2.0,2,-73.9769,40.7628,4200,low
1.0,4,-73.9435,40.8254,2800,low
1.0,1,-73.953,40.7358,1625,low
1.0,2,-73.9746,40.7445,3000,high
1.0,0,-73.9575,40.7633,1775,high
1.0,0,-73.9564,40.7711,1775,high
1.0,2,-73.9943,40.7602,3950,low
1.0,2,-73.9607,40.7675,3350,low
1.0,3,-74.0053,40.7456,4650,high
1.0,1,-73.9456,40.8192,2250,low
1.0,4,-74.0046,40.7073,5350,medium
1.0,0,-73.9915,40.7394,2295,low
1.0,2,-73.9816,40.7768,6500,low
1.0,1,-73.8501,40.7238,2650,low
1.0,3,-73.9528,40.8226,2970,medium
1.0,2,-73.9973,40.7565,3300,low
1.0,1,-73.8651,40.8719,1250,medium
1.5,2,-73.9444,40.7802,4395,low
1.0,1,-73.9408,40.8175,1695,high
1.0,1,-73.9909,40.7448,4000,low
2.0,4,-73.9591,40.764,5500,high
2.0,2,-73.953,40.7723,5995,low
1.0,2,-74.0046,40.7073,3200,medium
2.5,2,-73.9566,40.7704,6700,low
3.0,3,-73.9747,40.7483,7000,low
2.0,2,-73.942,40.7874,2830,medium
2.0,2,-73.9861,40.7719,6995,low
1.0,0,-74.0065,40.7081,3150,medium
1.0,1,-73.9861,40.7281,2395,low
1.0,2,-73.9637,40.7592,2975,low
1.0,1,-73.9396,40.8448,1695,low
1.0,2,-73.9487,40.7845,3100,medium
1.0,1,-73.9832,40.728,2800,low
2.0,2,-73.9741,40.787,5500,medium
1.0,2,-73.9824,40.7242,2490,medium
1.0,1,-74.0122,40.7074,3860,low
1.0,1,-73.9503,40.7843,2825,low
2.0,4,-73.9633,40.7583,7500,low
2.0,3,-73.9935,40.7247,6000,medium
1.0,1,-73.9163,40.7441,1750,medium
1.0,1,-74.0072,40.711,3495,low
1.0,1,-74.0148,40.7182,4525,low
1.0,1,-73.9901,40.7487,4200,medium
1.0,3,-73.9828,40.7192,4308,low
2.0,3,-73.9446,40.7797,5895,low
1.0,1,-73.9474,40.775,3200,low
1.0,1,-73.9765,40.7489,3500,low
1.0,0,-73.9879,40.7254,2499,medium
0.0,2,-73.9613,40.7658,15000,low
1.0,1,-73.9517,40.7755,2600,low
1.0,1,-73.9491,40.7803,2150,low
1.0,1,-73.9804,40.73,2795,medium
1.0,3,-73.9551,40.6796,2499,medium
3.0,3,-73.9861,40.7721,12000,low
1.0,0,-73.9951,40.6925,2125,low
2.0,2,-74.0059,40.7158,7205,low
2.0,2,-73.9948,40.7592,4680,low
1.0,1,-73.9894,40.7037,3515,low
1.0,2,-73.987,40.7188,3700,low
2.0,3,-73.9874,40.7323,10000,low
1.0,1,-73.9772,40.791,2850,low
2.0,3,-73.9667,40.7953,4700,low
1.0,1,-74.0151,40.7085,2765,low
3.0,3,-73.9502,40.7754,13650,low
1.0,0,-73.9252,40.696,2300,low
1.0,1,-73.9472,40.7267,2350,low
1.0,1,-73.9539,40.7807,2895,low
1.0,1,-73.9659,40.7601,2600,low
1.0,2,-73.9803,40.7465,3395,medium
2.0,4,-73.9727,40.7436,6100,medium
1.0,1,-73.9785,40.7655,3350,low
1.0,1,-73.919,40.6826,1700,medium
1.0,3,-74.0134,40.7087,3450,medium
1.0,2,-73.9487,40.7845,2820,medium
1.0,2,-74.0044,40.7318,3795,medium
1.0,3,-73.979,40.7426,4700,low
1.0,0,-74.0088,40.706,3221,low
2.0,2,-73.9992,40.761,5000,low
1.0,1,-74.0069,40.7091,3425,low
2.0,4,-73.9781,40.7413,6400,low
1.0,0,-73.9909,40.7448,3617,low
1.0,2,-73.9529,40.7671,3400,medium
1.0,1,-73.9592,40.7727,2850,low
1.0,2,-73.9488,40.7897,2995,low
1.0,2,-73.9892,40.726,3450,low
1.0,1,-73.9764,40.7857,2300,medium
1.0,0,-74.0047,40.7475,3790,low
1.0,1,-73.9851,40.6887,3075,low
1.0,0,-73.9881,40.7233,2000,high
1.0,2,-73.9623,40.7967,3195,low
1.0,1,-74.0096,40.7141,7425,low
1.0,2,-74.0017,40.7404,3900,low
1.0,1,-73.9875,40.7283,3650,low
2.5,3,-73.9565,40.7802,15000,low
2.0,2,-73.9808,40.7482,6000,low
2.0,2,-74.0034,40.724,13750,low
2.0,3,-73.9823,40.735,5700,low
1.0,2,-73.9772,40.7412,3300,low
1.0,1,-73.9818,40.7468,2900,low
1.0,1,-73.9656,40.7575,2900,low
1.0,0,-73.9765,40.7489,2450,low
1.0,2,-73.9647,40.7571,3300,medium
1.0,2,-73.9293,40.7043,2500,low
1.0,1,-73.8119,40.7031,1500,high
1.0,2,-73.9806,40.7209,2895,high
1.0,0,-73.9864,40.73,2850,low
3.0,5,-73.9512,40.7698,10000,low
1.0,1,-73.9571,40.7777,2290,medium
1.0,0,-73.9266,40.7645,1900,low
1.0,1,-73.8364,40.7158,1850,low
2.0,3,-73.942,40.7874,4090,low
1.0,0,-74.0078,40.7365,2895,low
2.0,4,-73.9962,40.7593,5890,low
1.0,1,-73.9818,40.7547,3475,low
1.0,2,-73.947,40.7805,2800,low
1.0,1,-73.9756,40.7445,2800,low
1.0,1,-73.9687,40.8024,3300,low
1.0,1,-73.9576,40.7784,3100,medium
1.0,0,-73.9982,40.7568,2895,low
1.0,1,-73.9478,40.789,1750,medium
1.0,1,-73.976,40.7357,3805,low
1.0,1,-74.0095,40.7162,4095,low
1.0,1,-73.987,40.761,2125,low
1.0,2,-73.9644,40.7147,3200,low
1.0,1,-73.9336,40.7972,1650,medium
1.0,1,-74.0148,40.7182,4525,low
1.0,3,-73.9789,40.7425,4500,medium
2.0,3,-73.9834,40.7381,5395,medium
1.0,1,-74.0022,40.7333,4600,low
1.0,1,-73.9695,40.7518,3695,low
1.0,2,-73.9529,40.7671,3500,low
1.0,2,-73.9486,40.8217,1900,medium
1.0,1,-73.9846,40.7637,3250,low
2.0,2,-73.9903,40.7468,8800,low
1.0,2,-73.9574,40.7659,2600,low
1.0,2,-74.0025,40.7315,3700,medium
1.0,0,-73.9748,40.6785,1800,medium
1.0,1,-73.9949,40.7419,4100,low
1.0,1,-73.9824,40.7817,2850,low
1.0,1,-74.0091,40.7123,4795,low
1.0,1,-74.0162,40.7056,3221,low
1.0,1,-73.9401,40.7496,2975,low
1.0,1,-73.9446,40.7797,3495,low
1.0,0,-73.96340000000001,40.7703,2150,medium
2.0,3,-73.9779,40.7413,5800,low
1.0,0,-73.9848,40.7635,2450,low
1.0,0,-73.9846,40.7637,2695,low
2.0,3,-73.9728,40.7978,6250,low
1.0,1,-74.0009,40.7477,2599,low
1.0,2,-73.9802,40.7469,3400,low
1.0,2,-73.9578,40.8198,2695,medium
1.0,1,-73.8282,40.7123,1725,low
1.0,0,-73.9827,40.7835,2200,low
1.5,3,-73.9288,40.6825,2700,low
1.0,0,-73.9818,40.7468,2575,low
2.0,2,-73.9638,40.7634,8600,low
2.0,3,-73.9977,40.719,7850,low
2.0,3,-73.9255,40.6933,3184,low
1.0,1,-73.9528,40.781,2965,low
1.0,2,-74.0066,40.7084,2950,low
1.0,2,-73.9516,40.8005,2750,low
1.0,1,-73.9217,40.8687,1525,low
1.0,1,-73.9241,40.7679,2200,medium
1.0,1,-73.945,40.8034,1701,low
2.0,3,-73.9239,40.8622,2675,low
2.0,4,-73.9865,40.7348,7000,low
1.0,1,-73.9799,40.7878,2595,low
1.0,2,-73.9793,40.7284,3195,medium
2.0,4,-73.9865,40.7348,6800,low
2.0,3,-73.9475,40.7742,4675,high
1.0,1,-73.9495,40.7621,2450,medium
1.0,3,-74.0113,40.7075,3850,low
2.0,2,-73.9535,40.7838,7350,low
2.0,2,-73.9897,40.7745,5500,medium
2.0,3,-73.966,40.8033,4000,low
1.0,2,-74.0089,40.7045,3125,low
1.0,1,-73.9159,40.7646,1800,high
1.0,1,-73.9891,40.7596,2725,low
1.0,2,-73.8519,40.7306,2350,low
1.0,0,-73.9506,40.7716,2700,low
1.0,2,-73.9916,40.7677,3760,low
2.5,2,-73.9593,40.7761,15000,low
1.0,2,-74.0014,40.752,3800,low
2.0,3,-73.9479,40.8314,3000,low
1.0,1,-73.9891,40.7596,2650,low
1.0,2,-73.9686,40.7998,3200,low
1.0,3,-73.9844,40.6091,2200,low
1.0,1,-73.9939,40.7586,2700,low
1.0,0,-73.9759,40.7785,2750,low
1.0,2,-73.9358,40.6896,2250,medium
1.0,3,-73.9503,40.7845,3500,medium
1.0,0,-73.9502,40.7745,1850,medium
1.0,2,-73.9705,40.7893,3300,medium
1.0,2,-73.9836,40.7677,3200,medium
1.0,0,-73.9564,40.7459,2550,low
1.0,0,-73.9511,40.7739,2225,low
1.0,0,-73.9929,40.6983,2150,low
0.0,2,-73.9622,40.7752,17500,low
1.0,1,-73.9648,40.7572,2841,low
1.0,3,-73.9032,40.7033,2100,medium
1.0,1,-73.9814,40.7733,5250,low
2.0,2,-73.9523,40.777,2950,medium
1.0,1,-73.9815,40.7401,3495,low
1.0,0,-73.9494,40.7703,1825,low
1.0,0,-74.0077,40.7065,2846,low
2.0,3,-73.9957,40.7427,5290,low
1.0,1,-73.9638,40.7634,4100,low
2.0,3,-73.9779,40.7413,4850,medium
1.0,1,-73.9242,40.6872,1800,medium
1.0,0,-73.9885,40.7248,2350,low
1.0,3,-73.945,40.8217,2650,low
1.0,4,-73.9782,40.7426,6376,low
2.0,3,-73.9901,40.726,5959,low
1.0,0,-73.9776,40.7454,2700,medium
1.0,1,-73.9757,40.7461,3400,low
1.0,0,-73.9737,40.7928,3250,low
2.0,3,-73.9988,40.7569,4895,low
1.0,0,-73.974,40.7446,2195,low
2.0,2,-73.9726,40.7518,5038,medium
3.5,3,-73.9628,40.7633,9000,low
1.0,2,-73.948,40.7731,3500,low
1.0,0,-73.9824,40.7817,2075,low
1.0,0,-73.9409,40.818,1495,low
1.0,2,-73.9865,40.7348,7200,low
1.0,1,-73.9564,40.7459,3600,low
2.0,4,-73.9475,40.78,5500,low
1.0,0,-73.9518,40.7717,2400,medium
1.0,0,-73.9977,40.7423,2300,low
1.0,0,-74.0149,40.708,2525,medium
1.0,1,-73.9792,40.7451,3150,low
1.0,1,-73.9972,40.7352,3495,medium
1.0,2,-73.981,40.7287,3800,low
2.0,3,-74.0084,40.7139,4500,high
1.0,1,-74.0162,40.7056,3495,medium
1.0,1,-73.9529,40.7815,2800,medium
1.0,3,-74.0097,40.7077,3000,high
1.0,2,-73.9738,40.7376,2850,high
1.0,1,-73.9918,40.7661,3704,low
1.0,1,-74.0014,40.7295,3195,low
1.0,1,-73.9939,40.6975,2550,low
1.0,0,-73.9901,40.7601,2175,low
1.0,2,-73.9615,40.6668,2600,low
1.0,0,-74.008,40.7321,4800,low
1.0,1,-73.9847,40.7637,2695,low
1.0,2,-73.9083,40.8862,2695,low
1.0,1,-73.9978,40.7189,3500,low
1.0,1,-73.9928,40.7551,3695,low
2.0,2,-74.0059,40.7075,4775,low
2.0,2,-73.9397,40.8117,3300,low
1.0,1,-73.9547,40.5758,1995,medium
2.0,3,-73.994,40.7522,5100,low
1.0,2,-73.9572,40.7459,2950,medium
2.0,3,-73.9705,40.7957,4400,low
1.0,3,-73.9794,40.7363,3785,low
1.0,2,-74.0059,40.7075,2980,medium
1.0,4,-73.9416,40.8369,3300,low
2.0,4,-73.9748,40.7481,6200,high
1.0,3,-73.9111,40.6956,2300,medium
1.0,2,-73.8559,40.7218,1850,low
1.0,2,-73.9591,40.771,4325,low
1.0,0,-73.9494,40.7813,2000,high
2.0,3,-73.9805,40.7824,13500,low
1.0,1,-73.9554,40.7741,2025,medium
1.0,1,-73.9542,40.7801,1700,high
1.0,1,-74.0047,40.7334,5250,low
1.0,0,-73.9885,40.732,3995,low
1.0,1,-73.9132,40.7463,1850,medium
1.0,1,-73.9501,40.774,2650,medium
1.0,0,-73.9621,40.759,1950,medium
1.0,0,-73.9838,40.7586,2250,low
1.0,2,-73.9973,40.7565,3100,low
1.0,2,-73.9824,40.6633,2050,high
1.0,1,-73.9397,40.8433,2100,low
1.0,1,-74.018,40.7067,2325,low
2.0,2,-73.9863,40.745,5680,low
2.0,2,-74.008,40.7321,6295,low
2.0,3,-73.9944,40.7548,4950,low
1.0,3,-74.0016,40.7371,5995,low
2.0,3,-73.998,40.7567,5000,low
1.0,1,-73.9856,40.7224,2200,low
1.0,1,-73.9833,40.7645,2500,medium
1.0,2,-73.9489,40.778,3050,low
1.0,1,-73.9961,40.7362,3700,high
1.0,1,-73.9563,40.6852,2800,low
1.0,2,-73.9766,40.6535,2700,low
1.0,1,-73.9511,40.7753,2700,low
1.0,3,-73.9392,40.8021,2995,low
1.0,2,-73.988,40.7653,2800,low
1.0,2,-73.9512,40.7761,2775,low
1.0,3,-73.9644,40.6948,4400,low
1.0,1,-73.9677,40.7606,3700,low
1.0,1,-73.9562,40.7667,2600,high
1.0,0,-73.9758,40.7478,2050,medium
1.5,2,-73.9819,40.7725,6100,low
1.0,1,-73.9837,40.7231,2495,medium
2.5,3,-73.9415,40.8081,3960,low
1.0,2,-73.9498,40.7615,3175,low
1.0,1,-73.9903,40.7674,3260,low
1.0,1,-73.9743,40.7521,3508,low
1.0,1,-73.9512,40.7698,3795,low
1.0,2,-73.9645,40.7922,5595,low
1.0,2,-73.998,40.7538,4150,medium
2.0,4,-73.9832,40.7319,4600,high
2.0,2,-73.945,40.6877,2950,low
1.0,1,-73.9551,40.7462,2900,low
1.0,3,-73.9984,40.7177,5495,low
1.5,2,-73.9885,40.7656,3500,low
1.0,3,-73.9216,40.6907,3700,low
1.0,2,-73.9157,40.8063,2195,high
2.5,3,-73.9758,40.7881,9000,low
1.0,1,-73.9585,40.7437,2975,low
1.0,0,-73.9511,40.7833,1950,low
1.0,1,-73.99,40.7601,2650,low
1.0,0,-73.9726,40.7518,2934,medium
2.0,3,-73.9953,40.7553,5215,low
1.0,0,-73.9748,40.7481,2700,low
1.0,0,-73.9914,40.7032,3671,low
1.0,2,-73.9794,40.7427,3200,low
1.0,2,-73.9793,40.7774,3100,high
1.0,0,-73.9515,40.7771,1825,low
3.0,3,-73.9742,40.796,6450,low
1.0,2,-73.9618,40.7965,2995,medium
1.0,2,-73.9659,40.7928,3550,medium
1.0,1,-73.9577,40.7734,2300,low
1.0,2,-73.9485,40.7958,2900,low
2.0,4,-73.9454,40.8359,4200,low
1.0,1,-73.9982,40.7568,3100,low
1.0,0,-73.9981,40.7372,2650,low
1.0,1,-73.9497,40.8051,2350,low
1.0,0,-73.9592,40.7804,2495,low
1.0,3,-73.9651,40.8024,4000,low
1.0,0,-74.2224,40.7291,695,medium
1.0,1,-73.9081,40.6896,1850,low
1.0,2,-73.9897,40.7337,4800,low
1.0,0,-73.9964,40.744,2390,low
1.0,1,-73.9778,40.763,3250,low
1.0,0,-73.9471,40.7812,1875,low
1.0,1,-73.9581,40.7697,2750,medium
1.0,1,-73.9526,40.7818,2699,low
1.0,0,-73.996,40.7197,1800,medium
1.0,3,-73.9666,40.8006,3300,low
1.0,0,-73.9863,40.7664,2500,low
1.0,0,-74.0046,40.7073,3095,low
2.0,4,-73.9828,40.7199,6495,low
1.0,2,-73.9865,40.7627,3170,low
1.0,1,-73.9769,40.7631,2995,high
1.0,3,-73.9667,40.7953,3550,low
1.0,1,-73.9494,40.78,2300,low
1.0,1,-73.9895,40.702,5670,low
1.0,2,-73.9581,40.7631,2800,medium
1.0,2,-73.9566,40.7788,3000,medium
1.0,2,-73.9533,40.8169,1625,medium
1.0,1,-73.9735,40.7468,3095,medium
2.0,2,-73.9669,40.6938,4400,low
1.0,1,-73.9729,40.7385,3200,low
2.0,4,-74.0061,40.7083,5200,low
1.0,2,-71.0794,42.3459,4186,low
1.0,1,-73.9757,40.7462,3200,low
1.0,2,-73.9664,40.803,2850,low
2.0,4,-73.9474,40.8365,3750,low
2.0,2,-73.9695,40.7518,4800,low
2.0,2,-74.0096,40.7141,7950,low
1.0,0,-74.0096,40.7141,3115,low
1.0,2,-73.9892,40.7282,2500,high
1.0,2,-74.0046,40.7073,3550,low
1.0,2,-73.9724,40.7923,4000,low
2.0,2,-73.9858,40.7284,3295,medium
1.0,0,-73.9838,40.7243,2155,medium
1.0,1,-73.9829,40.723,2895,low
1.0,1,-73.9945,40.7387,4700,low
1.0,1,-73.9947,40.7252,4675,low
1.0,1,-73.946,40.8231,1800,medium
2.0,2,-73.986,40.6927,3895,low
1.0,3,-73.9632,40.7631,4995,low
1.0,2,-73.9486,40.8217,1900,high
1.0,1,-73.9618,40.7605,2600,low
1.5,1,-73.8367,40.7185,2700,low
1.0,1,-73.9897,40.7035,3810,low
1.0,1,-74.0032,40.6816,2800,low
1.0,1,-73.9445,40.8333,1700,medium
1.0,2,-74.0035,40.7396,5475,low
1.0,2,-74.0045,40.731,3570,high
1.0,3,-73.9184,40.68,2199,medium
1.0,1,-73.9854,40.7467,4390,low
2.0,3,-73.9435,40.786,3595,low
1.0,2,-73.9486,40.8217,2500,low
1.0,1,-73.9421,40.8012,1900,high
2.0,2,-73.9929,40.7714,5788,low
1.0,2,-73.9258,40.7692,2600,medium
1.0,3,-73.9788,40.7287,3689,medium
1.0,3,-73.9498,40.8256,2300,high
1.0,1,-73.9866,40.7651,2695,low
1.0,3,-73.9531,40.8199,2750,medium
1.0,4,-73.9933,40.7434,5900,high
1.0,0,-73.9685,40.7981,1895,low
1.0,2,-73.9438,40.7861,2595,low
3.0,4,-73.9555,40.6843,4400,low
2.0,2,-73.9636,40.7661,11000,low
1.0,2,-73.9261,40.7636,2495,low
1.0,0,-73.9544,40.7801,1725,medium
1.0,2,-73.9538,40.8199,1950,low
1.0,0,-74.0015,40.7367,3600,low
1.0,0,-73.9792,40.7431,2775,low
1.0,1,-73.9529,40.7701,2500,high
1.0,1,-73.9846,40.7637,2885,low
1.0,2,-73.9741,40.7369,4000,low
1.0,2,-73.984,40.7273,4350,low
1.0,1,-73.9901,40.7487,4295,low
1.0,1,-73.9759,40.7462,2400,medium
2.0,2,-73.9554,40.8066,3595,low
2.0,4,-73.9221,40.673,2492,medium
2.0,4,-73.9727,40.7436,6000,low
1.0,2,-73.9916,40.7677,3995,medium
1.0,2,-73.9415,40.7081,2600,low
1.0,2,-73.98,40.7292,4399,low
2.0,5,-73.9932,40.7386,12000,low
1.0,0,-73.9864,40.7708,3500,low
1.0,2,-73.9052,40.7056,2000,medium
1.0,0,-73.9488,40.77,1925,medium
1.0,0,-73.9937,40.7653,2300,high
1.0,4,-73.9531,40.8104,4000,low
2.0,3,-73.9735,40.7469,5400,medium
1.0,1,-73.9376,40.8179,1950,low
1.0,1,-73.952,40.8268,2100,low
1.0,2,-73.9895,40.7291,3450,medium
1.0,1,-73.9999,40.7278,2750,low
1.0,3,-73.9353,40.6832,2700,medium
2.0,2,-73.9864,40.7708,7297,low
1.0,1,-73.9963,40.7606,3200,low
1.0,0,-74.0101,40.7066,3605,low
1.0,1,-73.9998,40.7613,3990,low
2.0,2,-73.9469,40.7826,4850,low
1.5,2,-73.9784,40.7448,4250,low
1.0,0,-73.9959,40.7593,2650,low
1.0,2,-73.9939,40.7239,5600,low
1.0,1,-73.9527,40.6724,2600,low
1.0,3,-73.9844,40.7269,4350,medium
2.0,1,-73.9964,40.7624,3545,low
2.0,4,-73.9962,40.7593,5890,medium
1.0,2,-73.9677,40.7902,4650,low
1.5,3,-73.9507,40.7806,3500,low
1.0,0,-73.9809,40.7413,2300,high
1.0,2,-73.9578,40.8198,2450,low
1.0,0,-73.9478,40.7802,2000,low
1.0,1,-74.0026,40.7512,3520,low
1.0,2,-73.9712,40.7595,3995,low
2.0,2,-73.9532,40.7793,5000,low
1.0,1,-73.9782,40.7749,2760,low
2.5,2,-73.8607,40.7267,2200,low
1.0,1,-73.9625,40.7993,2395,low
1.0,1,-74.0051,40.7304,3600,low
1.0,0,-73.9934,40.7366,3200,low
1.0,1,-73.8683,40.8634,1350,high
1.0,1,-73.9832,40.6624,2995,medium
1.0,1,-74.0151,40.7084,3800,low
2.0,1,-73.9936,40.7391,5575,low
1.0,1,-73.979,40.741,2795,low
1.0,1,-73.9198,40.7389,1725,high
2.0,4,-73.9779,40.7413,5995,medium
1.0,1,-73.9819,40.7299,2995,low
1.0,0,-74.0026,40.7512,3305,medium
1.0,0,-73.9573,40.7817,3500,low
1.5,4,-73.9897,40.7652,5750,low
1.0,0,-73.9851,40.7437,3795,low
1.0,1,-73.9773,40.7621,3295,low
1.0,1,-73.9863,40.745,4095,low
1.0,2,-73.9958,40.753,5399,low
1.0,0,-73.9494,40.7813,2000,low
1.0,0,-73.9523,40.7737,2000,low
1.0,0,-73.9862,40.7514,2500,high
1.0,2,-73.9865,40.7338,3650,high
1.0,1,-73.9884,40.7255,2650,medium
2.0,2,-73.9788,40.7421,3495,medium
1.0,2,-73.9933,40.7366,4200,medium
1.0,1,-73.9963,40.7606,3200,low
1.0,2,-73.9849,40.7469,3900,low
1.0,3,-73.9472,40.8273,2950,low
1.0,2,-73.947,40.766,3041,medium
2.0,4,-73.9779,40.7413,6000,medium
1.0,0,-73.951,40.7723,2770,low
1.0,0,-74.0157,40.7069,3250,low
1.0,1,-73.8156,40.7104,1625,low
1.0,3,-73.9724,40.7542,3600,high
1.0,1,-74.0134,40.7105,3450,low
1.0,1,-73.9532,40.7105,2400,low
2.0,4,-73.9859,40.7272,6200,low
1.0,2,-73.917,40.8698,2200,low
1.0,0,-74.0019,40.7383,2750,low
1.0,0,-73.8608,40.7315,1400,medium
1.0,0,-73.9848,40.7635,2450,low
1.0,1,-73.9592,40.7727,2850,low
1.0,2,-73.9707,40.7498,3850,low
1.0,0,-73.9528,40.7796,2850,low
1.0,1,-73.9517,40.7802,2400,medium
2.0,3,-73.944,40.7862,3595,low
1.0,1,-73.9618,40.7585,2000,medium
1.0,0,-74.0072,40.7067,2500,low
1.0,1,-73.9978,40.6436,1550,medium
1.0,1,-74.0011,40.7265,2205,high
2.0,2,-73.9861,40.7721,8500,low
2.0,2,-73.9865,40.745,6100,low
1.0,0,-73.9893,40.7194,2400,low
1.0,1,-73.9932,40.7633,2995,low
1.0,0,-73.9498,40.7777,1800,low
1.0,1,-73.9866,40.7651,2795,low
1.0,2,-73.9801,40.7207,3507,medium
1.0,0,-73.9648,40.7535,1952,medium
